age_range,gender,marital_status,region,highest_education,school,graduation,study_programme,employment_status,last_year_benefitted,total_loan,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process
38 to 48,Male,Married,Southern,Master,Poly,2004.0,Accountancy,Employed_fulltime,2004,"Less than MWK 200,000",Tuition_Living_Stationery,Fully_paid,CRBreport,oneoff,neutral,ineffective,effective,neutral,Dissatisfied
28 to 37,Female,Single,Central,Master,Poly,2014.0,Accountancy,Employed_fulltime,2014,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,Fully_paid,Employer,monthly_salary,convenient,ineffective,ineffective,neutral,Dissatisfied
28 to 37,Male,Married,Central,Master,Poly,2014.0,Accountancy,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Female,Married,Southern,Master,Poly,2012.0,Accountancy,Employed_fulltime,2011,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Male,Married,Central,Bachelor,Poly,2016.0,Accountancy,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Male,Married,Central,Bachelor,Poly,2016.0,Accountancy,Employed_fulltime,2015,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Married,northern,Doctorate,Poly,2000.0,Accountancy,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Male,Married,Southern,Master,Poly,2016.0,Accountancy,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
21 to 27,Male,Single,northern,Bachelor,Poly,2015.0,Accountancy,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Widowed,northern,Doctorate,Poly,2001.0,Accountancy,Employed_fulltime,2000,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,neutral,effective,positive,neutral
21 to 27,Male,Single,northern,Bachelor,Poly,2015.0,Accountancy,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Female,Single,Central,Bachelor,Luanar,2013.0,Agribusiness_Management,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,effective,neutral,negative,neutral
21 to 27,Female,Single,Central,Bachelor,Luanar,2013.0,Agribusiness_Management,Unemployed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,northern,Master,Luanar,2013.0,Agricultural_Economics,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,ineffective,negative,Dissatisfied
21 to 27,Female,Single,Central,Bachelor,Luanar,2016.0,Agricultural_Economics,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,voluntary_monthly,neutral,neutral,neutral,neutral,neutral
28 to 37,Female,Married,Southern,Bachelor,Chanco,2016.0,Arts_Humanities,Employed_fulltime,2012,"Less than MWK 200,000",Stationery,Fully_paid,Employer,monthly_salary,very_convenient,very_effective,effective,positive,neutral
28 to 37,Female,Single,northern,Bachelor,Mzuni,2013.0,Theology_and_Religious_Studies,Self_employed,2013,"MWK 300,001 – MWK 500,000",Tuition,not_paid,none,none,very_inconvenient,Very ineffective,Very ineffective,negative,Dissatisfied
28 to 37,Male,Married,Central,Bachelor,Chanco,2008.0,Theology_and_Religious_Studies,Employed_fulltime,2017,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Email,monthly_salary,neutral,neutral,neutral,neutral,neutral
38 to 48,Male,Married,northern,Master,Chanco,2017.0,Theology_and_Religious_Studies,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Tuition,Fully_paid,Inperson,monthly_salary,neutral,effective,effective,neutral,neutral
Above 49,Male,Married,northern,Doctorate,Mzuni,2001.0,Theology_and_Religious_Studies,Employed_fulltime,2000,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Employed_parttime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Female,Married,northern,Master,Mzuni,2008.0,Theology_and_Religious_Studies,Employed_fulltime,2007,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Satisfied
Above 49,Male,Married,northern,Doctorate,Chanco,2000.0,Theology_and_Religious_Studies,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,Very satisfied
28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,effective,neutral,neutral
Above 49,Female,Married,Central,Doctorate,Chanco,2003.0,Theology_and_Religious_Studies,Employed_fulltime,2002,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,neutral,effective,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Self_employed,2012,"Above MWK1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Female,Divorced,Southern,Master,Mzuni,2016.0,Theology_and_Religious_Studies,Employed_parttime,2015,"Above MWK1,000,000",Tuition_Living_Stationery,Partially_paid,Inperson,voluntary_monthly,neutral,neutral,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,Central,Bachelor,Chanco,2016.0,Theology_and_Religious_Studies,Employed_parttime,2015,"MWK 600,001 – MWK 1,000,000",Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,northern,Bachelor,Mzuni,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living_Stationery,Partially_paid,Email,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral
Above 49,Male,Divorced,northern,Doctorate,Chanco,2002.0,Theology_and_Religious_Studies,Employed_fulltime,2001,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Southern,Bachelor,Chanco,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral
21 to 27,Male,Single,Central,Bachelor,Chanco,2016.0,Theology_and_Religious_Studies,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,ineffective,neutral,neutral
38 to 48,Male,Married,Central,Master,Chanco,2014.0,Theology_and_Religious_Studies,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Female,Married,northern,Bachelor,Chanco,2017.0,Theology_and_Religious_Studies,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Male,Married,northern,Bachelor,Chanco,2014.0,Theology_and_Religious_Studies,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Female,Married,Southern,Master,Chanco,2013.0,Theology_and_Religious_Studies,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Chanco,2017.0,Theology_and_Religious_Studies,Employed_fulltime,2017,"Above MWK1,000,000",Tuition_Living,not_paid,Phonecall,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,Central,Bachelor,Chanco,2017.0,Theology_and_Religious_Studies,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Southern,Bachelor,Chanco,2017.0,Sociology,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
21 to 27,Female,Single,northern,Bachelor,Chanco,2011.0,Sociology,Unemployed,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,ineffective,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Chanco,2016.0,Sociology,Self_employed,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Chanco,2017.0,Sociology,Employed_parttime,2016,"Above MWK1,000,000",Tuition_Living_Stationery,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Female,Married,Southern,Bachelor,Chanco,2011.0,Sociology,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,Central,Bachelor,Luanar ,2017.0,Agricultural_Technology,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,neutral,effective,ineffective,negative,Dissatisfied
28 to 37,Male,Single,Central,Bachelor,Luanar,2017.0,Agricultural_Technology,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Male,Married,Central,Master,Poly,2012.0,Commerce,Employed_fulltime,2011,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,effective,neutral,neutral
Above 49,Female,Married,Central,Doctorate,Chanco ,,Humanities,Employed_fulltime,2004,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Married,Central,Doctorate,Chanco,2004.0,Humanities,Employed_fulltime,2003,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Partially_paid,Inperson,monthly_salary,convenient,effective,neutral,neutral,neutral
28 to 37,Female,Married,Southern,Bachelor,Mzuni,2005.0,Sports_Management,Employed_fulltime,2004,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,oneoff,convenient,effective,effective,positive,neutral
28 to 37,Male,Married,Southern,Bachelor,Poly,2016.0,Business_Administration,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,not_paid,Email,none,neutral,neutral,neutral,neutral,neutral
Above 49,Female,Divorced,Southern,Master,Chanco,2002.0,Cultural_Studies,Self_employed,2001,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,Fully_paid,Inperson_Employer,monthly_salary,very_convenient,very_effective,very_effective,positive,Very satisfied
Above 49,Male,Married,northern,Doctorate,Chanco,2001.0,Media_for_Development,Employed_fulltime,2000,"MWK 300,001 – MWK 500,000",Living_Stationery,Fully_paid,Inperson_Employer,monthly_salary,neutral,neutral,neutral,neutral,Satisfied
28 to 37,Male,Single,Central,Master,Chanco,2017.0,Bachelor_of_Arts_Political_Science,Employed_fulltime,2016,"Less than MWK 200,000",Living_Stationery,Fully_paid,Email_Inperson_Employer,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Male,Married,Southern,Bachelor,Mzuni,2014.0,Arts_Education,Employed_fulltime,2014,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,not_paid,Employer,none,convenient,effective,effective,,
38 to 48,Female,Married,Central,Master,Poly,2008.0,Business_Administration,Employed_fulltime,2007,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Dissatisfied
28 to 37,Male,Married,Southern,Bachelor,Poly,2016.0,Business_Administration,Employed_parttime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,not_paid,Email,none,neutral,neutral,neutral,neutral,neutral
21 to 27,Female,Single,Central,Bachelor,Poly,2015.0,Business_Administration,Unemployed,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,neutral,neutral,effective,positive,neutral
38 to 48,Female,Married,northern,Master,Poly,2001.0,Civil_Engineering,Employed_fulltime,2000,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Male,Single,northern,Master,Poly,2011.0,Civil_Engineering,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email,voluntary_monthly,neutral,effective,effective,positive,neutral
21 to 27,Male,Single,Central,Bachelor,Poly,2015.0,Commerce,Unemployed,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,northern,Bachelor,Poly,2012.0,Commerce,Employed_fulltime,2011,"MWK 300,001 – MWK 500,000",Living,Fully_paid,Phonecall_Inperson,monthly_salary,convenient,very_effective,effective,very_positive,Very satisfied
21 to 27,Male,Single,Central,Bachelor,Poly,2014.0,Commerce,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Satisfied
Above 49,Male,Married,Southern,Doctorate,Mzuni,2005.0,Education_Languages,Employed_fulltime,2003,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,neutral,neutral,neutral,neutral
38 to 48,Female,Married,northern,Master,Mzuni,,Arts_Education,Employed_fulltime,2003,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson_Employer,monthly_salary,convenient,effective,effective,positive,Very satisfied
Above 49,Male,Married,Central,Doctorate,Mzuni,2012.0,Arts_Education,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Married,Southern,Doctorate,Mzuni,2000.0,Arts_Education,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Married,Central,Master,Poly,2000.0,Business_Studies,Self_employed,1999,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,Fully_paid,Inperson_Employer,voluntary_monthly,neutral,effective,effective,positive,Very satisfied
21 to 27,Male,Single,Central,Bachelor,Chanco,2011.0,Business_Studies,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,neutral,effective,neutral,negative,Dissatisfied
21 to 27,Male,Single,Southern,Bachelor,Mzuni,2013.0,Education_Languages,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Satisfied
38 to 48,Male,Married,Central,Bachelor,Mzuni,2007.0,Education_Languages,Employed_fulltime,2006,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson_Employer,monthly_salary,convenient,effective,effective,positive,Satisfied
38 to 48,Female,Married,,Bachelor,Mzuni,2015.0,Education_Languages,Employed_fulltime,2004,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
21 to 27,Male,Single,Southern,Bachelor,Mzuni,2016.0,Education_Languages,Employed_fulltime,2015,"MWK 300,001 – MWK 500,000",Tuition_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Male,Married,Central,Master,Mzuni,,Education_Languages,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
21 to 27,Male,Single,Central,Bachelor,Mzuni,2016.0,Education_Science,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Male,Married,Central,Bachelor,Mzuni,2016.0,Education_Science,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Married,northern,Bachelor,Chanco ,2002.0,Education_Science,Employed_fulltime,2001,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Male,Single,Central,Master,Mzuni,2011.0,Education_Science,Employed_fulltime,2010,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
21 to 27,Female,Single,Southern,Bachelor,Chanco ,2015.0,Education_Science,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Female,Divorced,northern,Doctorate,Luanar,2004.0,Education_Science,Self_employed,2003,"Above MWK1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,convenient,ineffective,ineffective,negative,Dissatisfied
Above 49,Female,Married,Southern,Master,Poly,2007.0,Education_Technical,Employed_fulltime,2006,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,voluntary_monthly,convenient,effective,effective,positive,Satisfied
21 to 27,Male,Single,northern,Bachelor,Poly,2017.0,Education_Technical,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Living_Stationery,Fully_paid,Email,monthly_salary,convenient,neutral,neutral,positive,neutral
